date,value
2021-11-23,331837.57742601505
2021-11-24,326478.5501261757
2021-11-25,346015.9057887895
2021-11-26,309031.1233463332
2021-11-27,313167.39313298155
2021-11-28,328422.4210445821
2021-11-29,339873.8242716219
2021-11-30,354076.62307868776
2021-12-01,350458.82083046564
2021-12-02,344972.8531008641
2021-12-03,322377.4566031964
2021-12-04,314846.67737248604
2021-12-05,320902.3476332491
2021-12-06,332460.8090540644
2021-12-07,329311.0040529173
2021-12-08,339291.1218169304
2021-12-09,313958.8590655349
2021-12-10,298076.0113175805
2021-12-11,312714.68991358875
2021-12-12,315821.6716372256
2021-12-13,289204.7105605261
2021-12-14,295097.4994264739
2021-12-15,307339.603884683
2021-12-16,302677.21954576735
2021-12-17,296353.90380056587
2021-12-18,302816.3951976753
2021-12-19,300079.52894394734
2021-12-20,301654.0490938288
2021-12-21,306962.60610231705
2021-12-22,304313.6805077617
2021-12-23,314400.0917641661
2021-12-24,309425.70926053374
2021-12-25,313132.2168693125
2021-12-26,310740.9956412021
2021-12-27,308727.5368968418
2021-12-28,290032.11745813256
2021-12-29,277601.1317580485
2021-12-30,283648.39030358644
2021-12-31,281121.8169304886
2022-01-01,287951.3649919706
2022-01-02,292748.33677448955
2022-01-03,287978.12954041443
2022-01-04,289447.8856006729
2022-01-05,270752.46616196376
2022-01-06,260519.2322398103
2022-01-07,244646.3256098493
2022-01-08,235600.67293721798
2022-01-09,241031.5821671637
2022-01-10,235732.9662766689
2022-01-11,247741.83681272462
2022-01-12,257800.71881930105
2022-01-13,247809.89523591034
2022-01-14,252918.86518314597
2022-01-15,254342.73916035786
2022-01-16,255936.37684484207
2022-01-17,245443.90915347557
2022-01-18,241634.16685784198
2022-01-19,235835.43626213964
2022-01-20,229523.59103769975
2022-01-21,196386.78596008258
2022-01-22,184459.7384721266
2022-01-23,194158.44612678752
2022-01-24,186532.8439244475
2022-01-25,188027.07042899745
2022-01-26,188345.186204787
2022-01-27,185382.73304274678
2022-01-28,194615.73755448495
2022-01-29,198931.712166399
2022-01-30,198950.82970100173
2022-01-31,205470.67370191938
2022-02-01,213139.8638831536
2022-02-02,204991.2059340827
2022-02-03,206122.19928118068
2022-02-04,229027.29983941268
2022-02-05,230377.76248375006
2022-02-06,233615.50814406972
2022-02-07,240098.6464785501
2022-02-08,238333.71568402537
2022-02-09,248064.54079681882
2022-02-10,234953.73556626134
2022-02-11,223869.3890035941
2022-02-12,223207.15760495525
2022-02-13,219555.70849583237
2022-02-14,224038.3880094823
2022-02-15,243444.21503402918
2022-02-16,238762.71316051082
2022-02-17,221141.69916647548
2022-02-18,212547.22031046875
2022-02-19,211335.1686166552
2022-02-20,200503.93821212815
2022-02-21,196376.84484208914
2022-02-22,201597.46119140476
2022-02-23,197270.78076011318
2022-02-24,198531.77334250972
2022-02-25,211706.8134893324
2022-02-26,212546.4556090846
2022-02-27,200106.2934923912
2022-02-28,223365.45079146588
2022-03-01,227600.36705666434
2022-03-02,225380.43893859448
2022-03-03,216715.60755524965
2022-03-04,200512.34992735335
2022-03-05,203804.38938594476
2022-03-06,195097.49942647395
2022-03-07,190496.29119828704
2022-03-08,196984.7824424562
2022-03-09,208532.53804389384
2022-03-10,199334.7097958247
2022-03-11,195523.43809742297
2022-03-12,196436.4915500497
2022-03-13,192372.10369350767
2022-03-14,198012.54110269938
2022-03-15,200178.17542249753
2022-03-16,212113.63462567865
2022-03-17,215027.91160052
2022-03-18,224739.61917871068
2022-03-19,225651.14322856924
2022-03-20,218810.1246463256
2022-03-21,221000.99411179931
2022-03-22,227088.78183069508
2022-03-23,232163.3402156458
2022-03-24,237880.24776324845
2022-03-25,237221.07517014604
2022-03-26,240498.58530243937
2022-03-27,252018.8116540491
2022-03-28,254868.8537126252
2022-03-29,260037.47036782137
2022-03-30,258911.82993041215
2022-03-31,250937.52389691825
2022-04-01,264220.38693890034
2022-04-02,263345.56855547905
2022-04-03,269320.94517091074
2022-04-04,269136.65213734034
2022-04-05,260532.9968647243
2022-04-06,242296.39825648087
2022-04-07,246783.66597843543
2022-04-08,244122.50516173433
2022-04-09,249183.29892177106
2022-04-10,244936.91213581094
2022-04-11,227861.1302286457
2022-04-12,231525.57926129844
2022-04-13,238455.30320409877
2022-04-14,231091.22887512424
2022-04-15,232512.0440467997
2022-04-16,233945.09444062095
2022-04-17,228497.36178022478
2022-04-18,233659.09612296397
2022-04-19,237192.781218934
2022-04-20,235225.20455762025
2022-04-21,228154.77556014375
2022-04-22,226534.3733272157
2022-04-23,224289.2100634702
2022-04-24,223369.27429838644
2022-04-25,229916.64754913203
2022-04-26,214855.85378909533
2022-04-27,220919.1710636996
2022-04-28,224587.4436032729
2022-04-29,215426.32102164102
2022-04-30,208508.06759960233
2022-05-01,216013.61168463712
2022-05-02,218440.00917641658
2022-05-03,212716.98401774102
2022-05-04,224871.14781677755
2022-05-05,210137.64624913968
2022-05-06,205922.6122199281
2022-05-07,201524.81455991435
2022-05-08,192682.57245545613
2022-05-09,170417.52695572382
2022-05-10,179096.88766536667
2022-05-11,159439.47388544772
2022-05-12,149898.29471591342
2022-05-13,153681.27246310315
2022-05-14,157259.31023935153
2022-05-15,164050.62323162804
2022-05-16,154749.56029670412
2022-05-17,159877.64777854245
2022-05-18,146448.72677219543
2022-05-19,154435.26802783512
2022-05-20,149811.11875812494
2022-05-21,151033.87627131602
2022-05-22,156243.02209987
2022-05-23,150900.05352909688
2022-05-24,151365.75667201958
2022-05-25,148553.1849812648
2022-05-26,137052.07616425786
2022-05-27,132084.5759730825
2022-05-28,137051.31146287374
2022-05-29,138689.30182763631
2022-05-30,152846.98325303968
2022-05-31,148497.36178022483
2022-06-01,139018.8881241875
2022-06-02,140252.35145675612
2022-06-03,135743.67209604647
2022-06-04,137996.48237363307
2022-06-05,138122.65810201116
2022-06-06,142222.2222222222
2022-06-07,138665.5960847289
2022-06-08,137025.31161581402
2022-06-09,136790.5482908924
2022-06-10,127162.95786495373
2022-06-11,117220.31046876195
2022-06-12,109722.41339756823
2022-06-13,92515.10285233615
2022-06-14,92444.75032499808
2022-06-15,94633.32568631948
2022-06-16,81708.34289210063
2022-06-17,83118.45224439856
2022-06-18,76097.72883688919
2022-06-19,86298.84530090999
2022-06-20,86276.66896077081
2022-06-21,86093.90532996863
2022-06-22,80308.17465779613
2022-06-23,87536.89684178328
2022-06-24,93677.4489561826
2022-06-25,95003.44115622848
2022-06-26,91595.16708725243
2022-06-27,91191.4047564426
2022-06-28,87485.66184904794
2022-06-29,84133.21098111187
2022-06-30,81900.28293951212
2022-07-01,81037.6997782366
2022-07-02,81594.4023858683
2022-07-03,82148.8108893477
2022-07-04,88017.12931100404
2022-07-05,86602.43175040145
2022-07-06,90737.17213428156
2022-07-07,94631.03158216717
2022-07-08,92837.80683643036
2022-07-09,93065.687848895
2022-07-10,89344.65091381814
2022-07-11,83841.85975376616
2022-07-12,79420.35635084499
